"regiao";"sexo";"idade_quinquenal";"raca_cor";"educ_mae";"ocup_mae";"educ_pai";"ocup_pai";"educ";"pessoas";"classesocial";"rendafa";"rendarange";"ocup";"freq_esc";"peso";"peso_pond";"se_trab";"empregados";"estuda_atualmente"
"54";5;2;3;1;2;9111;1;7212;1;4;3;14;1;NA;1;19108,169921875;1,22374522686005;2;0;3
"55";5;1;2;3;1;9112;99;9995;2;12;4;4000;6;7214;1;17322,462890625;1,10938310623169;1;1;2
"56";5;1;3;3;1;9994;99;1345;2;3;4;3700;6;7532;1;18320,974609375;1,17333078384399;1;1;2
"57";5;2;3;1;1;9112;1;9112;1;8;2;1000;2;NA;1;17925,537109375;1,14800572395325;2;0;3
"58";5;2;1;2;1;9111;1;9213;2;6;3;14;2;NA;1;11016,390625;0,705523073673248;2;0;1
"59";5;1;1;3;2;9111;2;5414;2;4;3;3600;6;3135;1;15613,9755859375;0,999966382980347;1;1;1
"60";5;1;1;3;1;9111;1;8321;2;6;5;14;14;NA;1;11339,525390625;0,726217567920685;4;0;1
"61";5;2;1;3;1;5120;1;2359;2;6;3;14;2;5312;1;15395,76171875;0,985991299152374;1;1;3
"62";5;2;3;3;1;9211;1;9211;1;4;3;1900;3;9412;1;19108,169921875;1,22374522686005;1;1;3
"63";5;1;2;1;99;9994;99;5249;2;6;2;14;14;7223;1;17322,462890625;1,10938310623169;1;1;3
"64";5;1;3;2;2;3221;99;8211;2;4;3;4000;6;8321;1;16072;1,02929961681366;1;1;2
"65";5;2;1;1;2;3432;2;9995;2;4;4;14;2;5223;1;11925,5126953125;0,763746023178101;1;1;1
"66";5;2;2;2;1;9111;1;8321;2;2;3;14;5;9321;1;17102,447265625;1,09529256820679;1;1;3
"67";5;2;2;1;2;9112;2;7223;2;6;3;14;6;4222;1;15758;1,00919008255005;1;1;2
"68";5;2;3;2;2;5142;1;2654;3;4;4;14;7;5244;1;17736,947265625;1,13592791557312;1;1;2
"69";5;1;1;2;1;3434;1;7512;2;5;3;14;6;NA;1;12001,5380859375;0,768614947795868;4;0;1
"70";5;1;3;1;2;5243;2;2511;4;2;4;14;5;2161;1;16474,666015625;1,05508768558502;1;1;2
"71";5;1;2;2;2;5312;1;8332;2;3;4;14;5;4110;1;16200,341796875;1,03751909732819;1;1;2
"72";5;1;1;1;2;9111;2;2262;2;5;4;2800;5;NA;1;12001,5380859375;0,768614947795868;4;0;1
"73";5;1;1;1;2;9111;3;7411;2;4;4;6880;8;4222;1;16200,341796875;1,03751909732819;1;1;2
"74";5;2;1;3;1;9994;1;7112;2;4;4;1500;3;3112;1;11925,5126953125;0,763746023178101;1;1;1
"75";5;1;3;3;1;9994;1;8121;2;4;4;2200;4;7112;1;16474,666015625;1,05508768558502;1;1;2
"76";5;1;3;1;1;9994;1;4321;2;7;3;14;14;7233;1;16072;1,02929961681366;1;1;2
"77";5;2;3;3;1;9111;9;7522;2;3;3;14;2;NA;1;17736,947265625;1,13592791557312;2;0;2
"78";5;2;2;1;1;7532;1;7231;2;5;4;14;4;5223;1;17102,447265625;1,09529256820679;1;1;2
"79";5;2;2;3;1;9111;99;7112;1;7;3;14;14;5120;1;15758;1,00919008255005;2;1;1
"80";5;2;3;3;1;7533;1;7212;2;4;2;900;2;NA;1;17102,447265625;1,09529256820679;2;0;2
"81";5;2;1;3;3;4110;99;9998;2;3;4;678;1;NA;1;15758;1,00919008255005;2;0;1
"82";5;2;3;3;1;1221;2;7223;1;4;3;700;2;7318;1;17736,947265625;1,13592791557312;1;1;3
"83";5;1;3;3;9;9994;9;6114;1;5;4;1200;2;7112;1;16072;1,02929961681366;2;1;1
"84";5;2;1;3;1;9412;3;7231;2;4;4;600;1;4226;1;11925,5126953125;0,763746023178101;1;1;2
"85";5;1;2;1;4;3343;4;2359;4;5;4;4500;6;4110;1;16200,341796875;1,03751909732819;1;1;1
"86";5;1;3;1;1;9111;1;4322;2;3;3;3300;5;5153;1;16072;1,02929961681366;1;1;2
"87";5;1;1;3;2;5211;2;4322;2;4;5;3500;6;NA;1;12001,5380859375;0,768614947795868;2;0;1
"88";5;2;1;1;1;9112;1;6112;2;4;2;1500;3;5311;1;11925,5126953125;0,763746023178101;2;1;1
"89";5;2;1;1;2;9111;2;7223;2;3;4;1700;3;NA;1;15758;1,00919008255005;2;0;2
"90";5;1;3;1;99;9111;1;8211;2;3;3;1500;3;8219;1;16072;1,02929961681366;1;1;2
"91";5;2;3;1;99;9994;9;7112;2;5;3;1200;2;9111;1;17736,947265625;1,13592791557312;1;1;2
"92";5;1;2;2;1;9994;9;7223;2;4;3;1900;3;9411;1;16474,666015625;1,05508768558502;1;1;2
"93";5;1;1;3;1;8157;1;7112;2;4;3;2300;4;7112;1;12001,5380859375;0,768614947795868;1;1;1
"94";5;1;1;1;1;9994;2;8331;2;5;4;14;4;5141;1;16200,341796875;1,03751909732819;1;1;2
"95";5;2;2;1;1;9112;1;7112;2;4;2;2500;4;5169;1;17102,447265625;1,09529256820679;1;1;2
"96";5;1;1;3;1;5311;1;7412;2;4;3;1700;3;NA;1;16200,341796875;1,03751909732819;2;0;1
"97";5;2;3;2;99;9998;99;9998;4;3;4;14;4;4222;1;17736,947265625;1,13592791557312;1;1;1
"98";5;2;1;1;1;5311;1;5112;2;6;3;14;4;2411;1;15758;1,00919008255005;1;1;1
"99";5;1;3;1;1;9994;2;7522;5;4;4;14;7;3354;1;16072;1,02929961681366;1;1;2
"100";5;1;2;1;1;9994;1;8211;2;4;3;1550;3;9214;1;16474,666015625;1,05508768558502;1;1;2
"101";3;1;1;2;1;9112;2;5223;2;4;3;1356;2;NA;1;11396,345703125;0,729856610298157;4;0;1
"102";3;2;1;3;2;5312;99;9998;1;4;2;725;2;NA;1;11720,5771484375;0,750621318817139;4;0;1
"103";3;2;3;2;2;5223;2;411;2;2;2;14;3;4211;1;18701,26953125;1,19768607616425;1;1;2
"104";3;1;3;3;2;2359;1;7131;2;3;3;14;3;3431;1;16622,23046875;1,06453812122345;1;1;2
"105";3;1;3;2;1;9111;1;7112;2;4;3;2700;4;7112;1;17365,576171875;1,11214423179626;1;1;2
"106";3;2;2;3;2;9994;2;4312;2;4;3;1100;2;NA;1;16671;1,06766140460968;2;0;2
"107";3;1;2;7;2;3221;2;5414;2;2;3;14;14;7412;1;16151,51953125;1,03439235687256;1;1;2
"108";3;2;2;3;2;9994;2;5223;4;6;4;4800;7;NA;1;19092,576171875;1,22274661064148;2;0;1
"109";3;1;3;3;1;9111;1;9622;2;3;3;678;1;7112;1;16622,23046875;1,06453812122345;1;1;2
"110";3;2;2;3;1;9111;1;9622;1;3;3;14;14;9321;1;19092,576171875;1,22274661064148;1;1;3
"111";3;1;2;2;1;5230;1;8331;2;4;5;14;14;NA;1;16151,51953125;1,03439235687256;2;0;1
"112";3;2;3;3;1;9211;1;9211;2;3;1;700;2;9111;1;18701,26953125;1,19768607616425;1;1;2
"113";3;2;1;3;2;9111;4;2341;2;3;2;14;4;NA;1;16671;1,06766140460968;4;0;2
"114";3;2;1;3;1;9994;2;4120;2;5;3;1500;3;5246;1;11720,5771484375;0,750621318817139;4;1;1
"115";3;1;1;1;3;9998;3;2310;2;3;5;14;14;NA;1;11396,345703125;0,729856610298157;4;0;1
"116";3;1;2;2;99;5322;99;9622;1;1;3;NA;NA;7112;1;17365,576171875;1,11214423179626;1;1;3
"117";3;2;3;3;1;9111;9;7112;2;3;3;600;1;NA;1;19092,576171875;1,22274661064148;2;0;2
"118";3;1;1;3;1;9994;1;5212;1;7;2;14;14;5212;1;11396,345703125;0,729856610298157;2;1;1
"119";3;2;3;3;1;9111;1;9211;2;3;3;13;13;NA;1;18701,26953125;1,19768607616425;2;0;2
"120";3;2;1;2;2;9111;1;5212;2;4;3;700;2;5311;1;16671;1,06766140460968;1;1;1
"121";3;1;2;7;9;9111;99;412;1;3;3;650;1;7112;1;16151,51953125;1,03439235687256;2;1;3
"122";3;2;1;1;1;9111;1;7112;1;8;5;900;2;5142;1;11720,5771484375;0,750621318817139;2;1;1
"123";3;1;2;2;1;9622;1;8331;1;5;3;1000;2;5249;1;17365,576171875;1,11214423179626;1;1;3
"124";3;2;3;2;99;5311;1;8331;2;11;2;2000;3;5249;1;19092,576171875;1,22274661064148;1;1;2
"125";3;1;1;2;1;9994;99;9622;2;9;3;14;2;5246;1;11396,345703125;0,729856610298157;2;1;1
"126";3;2;1;2;1;9111;99;9998;2;4;1;14;1;NA;1;11720,5771484375;0,750621318817139;3;0;1
"127";3;1;2;1;1;9111;99;9211;1;3;2;14;2;8114;1;17365,576171875;1,11214423179626;1;1;3
"128";3;1;3;3;2;9111;1;7112;2;3;3;14;1;NA;1;16622,23046875;1,06453812122345;2;0;3
"129";3;1;1;3;3;3324;99;9998;2;5;3;14;6;NA;1;16151,51953125;1,03439235687256;2;0;1
"130";3;2;3;3;1;5120;1;9333;1;7;3;14;2;NA;1;19092,576171875;1,22274661064148;4;0;3
"131";3;2;2;3;2;9111;1;5120;2;4;3;3000;5;4211;1;16671;1,06766140460968;1;1;2
"132";3;1;2;3;2;9994;2;8211;2;5;3;14;14;2356;1;17365,181640625;1,11211895942688;1;1;2
"133";3;2;2;3;2;7533;3;4222;4;5;4;14;5;3133;1;19259,455078125;1,23343396186829;1;1;1
"134";3;2;2;3;2;9994;2;2341;2;2;4;14;2;NA;1;15039,845703125;0,963197410106659;4;0;2
"135";3;1;3;2;1;9994;2;9996;4;2;4;14;6;8344;1;16213,0830078125;1,03833508491516;1;1;1
"136";3;2;1;3;1;9994;1;5414;1;5;3;14;1;NA;1;12455,6669921875;0,797698676586151;4;0;1
"137";3;1;1;1;1;9622;1;7112;1;8;3;14;2;NA;1;12475,3330078125;0,7989581823349;4;0;1
"138";3;2;3;3;1;9111;1;7112;2;3;3;14;2;NA;1;17373,416015625;1,11264634132385;2;0;2
"139";3;1;2;2;2;4419;2;9996;2;5;3;14;6;4222;1;15530,154296875;0,994598150253296;1;1;2
"140";3;2;2;2;99;9111;2;5412;2;2;2;14;2;5243;1;16627,4375;1,06487154960632;1;1;3
"141";3;1;2;3;9;9994;99;7112;1;3;3;14;2;5223;1;18068,78515625;1,1571798324585;1;1;3
"142";3;2;2;2;1;6225;1;6225;4;5;2;14;2;NA;1;16499,5625;1,05668199062347;2;0;3
"143";3;2;3;2;1;9613;99;7511;1;5;3;14;1;NA;1;15343,6875;0,982656300067902;2;0;3
"144";3;2;1;3;1;9111;1;5212;2;3;2;14;1;NA;1;13286,75;0,850923776626587;3;0;1
"145";3;1;1;3;2;4120;2;412;2;3;4;14;5;NA;1;13020,6875;0,833884358406067;4;0;1
"146";3;1;2;2;2;4419;2;2330;2;6;3;14;2;4110;1;15773,8125;1,01020276546478;1;1;3
"147";3;1;3;2;1;9111;1;6225;2;8;2;14;2;NA;1;14404,0625;0,922479867935181;2;0;3
"148";3;1;1;1;3;2341;1;5212;2;4;4;14;3;NA;1;13020,6875;0,833884358406067;4;0;1
"149";3;1;3;1;2;9994;1;8189;2;6;3;14;2;6225;1;14404,0625;0,922479867935181;1;1;2
"150";3;2;1;3;1;9211;1;9211;2;2;2;678;1;NA;1;13286,75;0,850923776626587;4;0;1
"151";3;2;3;4;1;9111;1;7112;1;3;3;300;1;6225;1;15343,6875;0,982656300067902;1;1;2
"152";3;1;3;3;3;2341;1;1112;3;2;3;900;2;4311;1;18068,78515625;1,1571798324585;1;1;1
"153";3;2;2;2;9;6225;9;6225;1;4;2;300;1;6225;1;16627,4375;1,06487154960632;2;1;3
"154";3;1;1;2;3;9994;2;9122;2;3;3;102;1;7231;1;15773,8125;1,01020276546478;3;1;2
"155";3;2;1;2;2;6225;1;7512;2;4;4;678;1;6225;1;16499,5625;1,05668199062347;1;1;2
"156";3;1;1;4;1;9412;99;7231;1;4;3;14;2;5221;1;18266,544921875;1,16984498500824;2;1;1
"157";3;1;3;2;2;6225;1;6225;2;3;3;1356;2;7221;1;16094,5;1,03074061870575;1;1;2
"158";3;1;1;2;2;5243;1;9621;2;6;3;14;2;NA;1;17713,900390625;1,1344518661499;3;0;1
"159";3;2;1;2;9;9994;99;9998;1;4;4;14;2;NA;1;14555,7275390625;0,932192921638489;4;0;1
"160";3;2;3;2;1;9111;2;2636;1;3;2;14;1;9111;1;13474,0908203125;0,86292165517807;1;1;1
"161";3;2;2;2;1;9111;1;5153;2;2;3;14;1;NA;1;16829,400390625;1,07780587673187;3;0;2
"162";3;2;1;2;1;9994;99;9214;2;4;5;14;1;9520;1;15107;0,967498123645782;1;1;1
"163";3;1;3;3;2;5322;99;8322;2;6;3;3900;6;7112;1;16924,091796875;1,08387017250061;1;1;2
"164";3;1;2;2;1;5212;99;7521;2;3;3;14;1;6225;1;18068,78515625;1,1571798324585;1;1;3
"165";3;1;3;8;9;9211;1;9215;1;2;2;14;4;6114;1;14404,0625;0,922479867935181;1;1;3
"166";3;2;1;2;9;9211;9;9211;1;4;3;678;1;NA;1;13286,75;0,850923776626587;4;0;1
"167";3;2;3;1;1;9211;99;9998;1;3;4;300;1;6111;1;15343,6875;0,982656300067902;1;1;3
"168";3;2;3;8;99;9993;99;9211;1;4;4;500;1;NA;1;16627,4375;1,06487154960632;2;0;3
